PointID..G,Latitude,Longitude,UTM_E,UTM_N,DistBouldEdge,DistMussEdge,Area10m,Perim10m,PerAreaRatio10m,RatioLog,Treatment,Black.goby,Brittlestar,Crab,Green.crab,Hermit.crab,Isopod,Baltic.prawn,Lesser.pipefish,Mysid,Crangon.prawn,Rock.gunnel,Sand.goby,Seastar,Shortfin.sculpin,Flatfish,Spider.crab,Spinach.spinach,Straightnosed.pipefish,Three.spined.stickleback,Tiger,Urchin,Periwinkle,Whelk,Richness,Shannon,Simpson,InvSimpson,Evenness,DeltaPlus
SS21-14,55.68516109,9.68353974,542976.4238,6171251.512,62.2888248,90.42450544,5.649658203,16.42269159,2.906846928,1.362730636,2-years-old,0,0,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,5,0.87139898,0.425240055,1.739856802,0.264216502,92.34072555
SS21-15,55.68606266,9.68140494,542841.2185,6171350.526,96.97813476,216.5295419,95.24707031,184.4466146,1.93650696,1.077220766,2-years-old,0,0,0,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,11,5,7,1.518249595,0.703213611,3.369426752,0.361380309,79.3128951
SS21-16,55.68586145,9.68172728,542861.7044,6171328.333,96.42819011,192.2662789,55.66772461,131.0731937,2.354563522,1.210321664,2-years-old,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,6,1.641734712,0.776859504,4.481481481,0.433573545,85.38252886
SS21-17,55.68566328,9.6820551,542882.5316,6171306.481,95.98883833,169.5869187,0,0,0,0,Bare,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.562335145,0.375,1.6,0.54101064,23.40725551
SS21-18,55.68547125,9.68238302,542903.3587,6171285.313,93.8056789,149.5113963,0,0,0,0,Bare,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,6,4,1.088899975,0.58,2.380952381,0.418381562,91.47287627
SS21-19,55.685267,9.68269986,542923.5027,6171262.779,94.31624215,134.1242354,9.935546875,29.3409028,2.953124088,1.374506175,2-years-old,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0.859967281,0.512396694,2.050847458,0.466403571,82.94575254
SS21-20,55.68507494,9.68303321,542944.6716,6171241.611,92.34304373,122.7457171,0,0,0,0,2-years-old,0,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,6,1.574097337,0.744897959,3.92,0.415735467,81.27060161
SS21-21,55.68487373,9.68335553,542965.1572,6171219.418,92.35371465,119.2508756,0,0,0,0,Bare,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1.011404265,0.611111111,2.571428571,0.556257305,74.46908517
SS21-22,55.68587749,9.68104874,542819.0263,6171329.699,127.3901037,234.754668,6.368652344,30.40504112,4.77417191,1.753394854,2-years-old,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1.214889654,0.666666667,3,0.480898347,91.47287627
SS21-23,55.68567929,9.68138199,542840.1947,6171307.847,126.1260791,211.9458454,0,0,0,0,2-years-old,0,0,0,1,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,8,6,1.414175464,0.666666667,3,0.372073751,88.07211805
SS22_1-01,55.68765169,9.67810891,542632.2656,6171525.336,185.6481864,181.7779961,56.84838867,148.4247746,2.610887979,1.28395372,1-year-old,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0.830517825,0.473372781,1.898876404,0.430882474,82.94575254
